state,cluster
Florida,0
Georgia,0
Illinois,0
Michigan,0
North Carolina,0
Ohio,0
Arizona,1
Arkansas,1
Colorado,1
Kentucky,1
Minnesota,1
Mississippi,1
Nevada,1
Oklahoma,1
Oregon,1
Alaska,2
Delaware,2
Hawaii,2
Idaho,2
Maine,2
Montana,2
Nebraska,2
New Hampshire,2
New Mexico,2
New York,2
North Dakota,2
Rhode Island,2
South Dakota,2
Utah,2
Vermont,2
West Virginia,2
Wyoming,2
Alabama,3
Louisiana,3
Maryland,3
Missouri,3
New Jersey,3
Pennsylvania,3
South Carolina,3
Tennessee,3
Virginia,3
Connecticut,4
Indiana,4
Iowa,4
Kansas,4
Massachusetts,4
Washington,4
Wisconsin,4
California,5
Texas,5
